log_death_rate,State,Deep_Pov_All,PovertyAllAgesPct,PerCapitaInc,UnempRate2019,PctEmpFIRE,PctEmpConstruction,PctEmpTrans,PctEmpMining,PctEmpTrade,PctEmpInformation,PctEmpAgriculture,PctEmpManufacturing,PctEmpServices,PopDensity2010,OwnHomePct,Age65AndOlderPct2010,TotalPop25Plus,Under18Pct2010,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,ForeignBornPct,Net_International_Migration_Rate_2010_2019,NetMigrationRate1019,NaturalChangeRate1019,TotalPopEst2019,WhiteNonHispanicPct2010,Type_2015_Update,RuralUrbanContinuumCode2013,UrbanInfluenceCode2013,Perpov_1980_0711,HiCreativeClass2000,HiAmenity,Retirement_Destination_2015_Update
-7.88148438550356,ME,5.595494537,13.7,28860,3.2,6.111170156,9.076416197,3.767669253,0.21256244,13.94409608,1.445424593,3.209692847,7.678818153,49.8086938,53.14,79.5863362,16.19,29041,21.01,32.56086223,20.88771048,9.376398884,29.57542784,2.351717489,1,3.385,-1.074,39715,96.56,5,6,6,0,1,0,0
-10.3539578932108,ME,7.077998432,18.3,24647,4.6,3.805529668,6.741223983,4.597701149,0.062131097,12.80677229,1.071761417,12.97763281,8.216837527,43.45293569,12.82,76.43053745,19.56,23308,19.98,39.03809851,19.619873,8.889651622,20.82546765,4.123808923,1.008,-0.682,-3.729,31379,91.3,0,7,11,0,0,1,0
-9.47098681568023,ME,3.32953913,9,35052,2.7,7.092444211,7.311479706,3.435300285,0.08518047,15.03762917,2.033098697,0.805002247,12.54212221,47.77501123,198.98,74.24747188,15.4,148451,21.35,30.58517625,20.62768186,10.42296785,31.36859974,3.316560152,0.288,5.687,-0.398,207641,95.58,4,2,2,0,1,0,0
-8.11768175355987,MD,7.596809869,16.7,23280,5.2,4.909784872,6.242192922,6.485079806,0.697432339,13.69882026,1.92574601,0.235947259,8.369188064,49.6981263,177.03,68.62090024,17.85,50190,18,41.85495119,19.98406057,9.860529986,18.25263997,2.099281715,0.724,-3.103,-2.965,70416,88.16,4,3,2,0,0,1,0
-7.79719459914678,MD,3.056158802,7,44979,3.1,5.610228806,6.728233997,4.256637835,0.039036016,12.83257658,1.931255522,0.188674077,4.907922942,50.24791294,1295.86,74.34525214,11.84,390445,23.26,23.82691544,19.55691583,7.831320673,40.93303794,8.323468899,1.463,2.893,4.515,579234,72.42,4,1,1,0,1,0,0
-7.22078123345844,MD,4.438057917,9.9,38580,3.7,7.716976585,5.828833494,4.934274104,0.029587987,12.7278454,1.965453639,0.233601932,5.254015257,53.26100184,1345.52,65.71826674,14.59,574109,21.96,26.22184986,19.38603993,6.909140947,38.62907566,12.4423501,2.903,0.659,1.908,827370,62.68,0,1,1,0,1,0,0
-8.06795994281378,MD,2.604339828,5.4,43504,3.2,4.570475035,11.33191748,4.949722607,0.034674064,11.6331484,1.610176838,0.468099861,3.920336338,44.35896325,416.31,83.10849146,10.91,61710,26.18,30.34192189,23.74169503,8.669583536,31.13271755,2.908368284,0.592,1.534,2.441,92525,79.65,5,1,1,0,1,0,0
-9.03025631012242,MD,7.108579213,13.2,27866,3.6,3.710401596,11.45547518,6.080069843,0.13095535,14.33649289,1.515340484,3.14916438,7.383387378,45.77824894,103.52,72.41122424,13.35,22389,25.24,40.65389254,17.83911742,8.513109116,16.86542499,4.736121673,1.422,-0.551,1.622,33406,78.19,0,6,4,0,0,0,0
-7.21410674673237,MD,2.542874039,6,40667,2.9,7.300082955,9.991022625,3.707996682,0.046591439,12.38991352,2.386390754,0.842055023,6.271662178,48.58350663,373.4,82.16377171,13.05,115982,24.67,29.92447104,19.16676726,7.518408029,35.59172975,3.789949977,0.236,0.147,0.591,168447,91.2,0,1,1,0,1,0,0
-8.07535905024735,MD,4.451120686,8.3,32976,4,6.517130006,9.249608655,6.63800107,0.214001229,14.08643272,1.53961995,1.050191214,9.259516119,45.28900073,291.99,72.77010561,11.74,70507,25.08,37.70689435,21.73543052,6.745429532,22.7948998,3.486251061,0.481,-0.09,1.76,102855,87.38,0,1,1,0,1,0,0
